RK,Player,Nation,pos,Squad,Age,Born,90s,cmp,Att,Cmp%,TotDis,PrgDist,cmp2,Att2,Cmp2%,cmp3,Att3,Cmp3%,cmp4,Att4,Cmp4%,Ast,xAG,xA,A-xAG,Kp,1/3,PPA,CrsPA,Prgp
1,Rodrigo Abajas, ESP,DF,Valencia,21-199,2003,0.7,17,29,58.6,268,110,11,14,78.6,4,7,57.1,2,7,28.6,0,0.0,0.0,0.0,0,0,0,0,2
2,Abel, ESP,DF,Osasuna,24-098,2000,9.2,273,395,69.1,4686,2165,141,159,88.7,100,142,70.4,25,68,36.8,0,0.3,0.5,-0.3,5,26,5,4,35
3,Nabil Aberdin, FRA,MF,Getafe,22-096,2002,2.9,36,61,59.0,680,267,12,20,60.0,12,19,63.2,8,13,61.5,0,0.0,0.1,0.0,1,7,2,0,6
4,Abdel Abqar, MAR,DF,Alavés,25-262,1999,11.5,260,363,71.6,5866,2313,77,88,87.5,134,154,87.0,47,107,43.9,1,0.1,0.2,+0.9,4,26,4,0,37
5,Julen Agirrezabala, ESP,GK,Athletic Club,23-337,2000,10.4,208,303,68.6,5582,4261,34,34,100.0,124,124,100.0,50,141,35.5,0,0.0,0.0,0.0,0,1,0,0,0
6,Lucien Agoume, FRA,MF,Sevilla,22-292,2002,7.6,327,411,79.6,5030,1384,178,201,88.6,111,137,81.0,26,42,61.9,0,0.2,0.2,-0.2,6,28,2,0,31
7,Álvaro Aguado, ESP,MF,Espanyol,28-210,1996,3.5,125,164,76.2,2375,730,40,55,72.7,69,79,87.3,14,22,63.6,0,0.0,0.2,0.0,2,19,7,3,24
8,Nayef Aguerd, MAR,DF,Real Sociedad,28-242,1996,9.7,622,695,89.5,11823,4087,244,255,95.7,307,325,94.5,65,99,65.7,0,0.1,0.1,-0.1,3,42,1,0,29
9,Joseph Aidoo, GHA,DF,Celta Vigo,29-059,1995,7,6,7,85.7,126,81,1,1,100.0,5,5,100.0,,,,0,0.0,0.0,0.0,0,0,0,0,1
10,Ilias Akhomach, MAR,"MF,FW",Villarreal,20-225,2004,6.5,136,185,73.5,2161,534,76,88,86.4,46,63,73.0,8,14,57.1,0,1.0,1.7,-1.0,9,5,8,2,12
11,Raúl Albiol, ESP,DF,Villarreal,39-084,1985,9.2,455,517,88.0,9210,3682,139,149,93.3,259,280,92.5,54,81,66.7,0,0.0,0.1,0.0,0,16,0,0,18
12,Omar Alderete, PAR,DF,Getafe,27-337,1996,13.0,345,511,67.5,8204,3944,87,110,79.1,175,223,78.5,80,155,51.6,0,0.8,0.6,-0.8,6,68,7,0,57
13,Carles Aleñá, ESP,"MF,FW",Getafe,26-327,1998,3.5,65,82,79.3,1050,220,33,37,89.2,22,28,78.6,6,10,60.0,0,0.0,0.1,0.0,1,8,1,0,8
14,Alfon, ESP,"FW,MF",Celta Vigo,25-207,1999,2.7,49,68,72.1,650,137,32,35,91.4,14,20,70.0,1,4,25.0,0,0.8,0.5,-0.8,7,1,2,1,7
15,Tadeo Allende, ARG,FW,Celta Vigo,25-281,1999,3,1,3,33.3,7,1,1,2,50.0,,,,,,,0,0.0,0.0,0.0,0,0,0,0,0
16,Domingos André Ribeiro Almeida, POR,"FW,MF",Valencia,24-181,2000,5.1,190,231,82.3,3287,806,90,96,93.8,73,83,88.0,20,32,62.5,0,0.3,1.2,-0.3,8,27,7,2,34
17,Iker Almena, ESP,"FW,DF",Girona,20-207,2004,0.5,23,32,71.9,328,34,13,14,92.9,10,14,71.4,1,1,0.0,1,0.7,0.4,+0.3,2,0,0,0,2
18,Marcos Alonso, ESP,"DF,MF",Celta Vigo,33-335,1990,9.1,575,659,87.3,9887,3803,247,265,93.2,280,298,94.0,36,70,51.4,0,0.2,0.3,-0.2,4,53,6,1,49
19,Adrià Altimira, ESP,"DF,FW",Leganés,23-244,2001,6.6,168,209,80.4,2859,760,87,96,90.6,64,79,81.0,16,28,57.1,0,0.0,0.2,0.0,1,18,2,0,17
20,Sergi Altimira, ESP,MF,Betis,23-094,2001,8.2,428,479,89.4,7081,1628,214,232,92.2,166,177,93.8,37,46,80.4,1,0.9,0.7,+0.1,7,33,7,0,43
